id,domain,intent,user_query,response,source,split,intent_id,domain_id
560,Healthcare,prescription,Can I get a copy of my prescription? (request 82),"You can request a copy from your prescribing doctor or healthcare provider, subject to their procedures.",curated_project_dataset,train,21,2
561,Finance,credit_card,I need help with my credit card (request 56),"Please specify whether you need help with payments, limits, transactions, fees, or card access so the appropriate guidance can be provided.",curated_project_dataset,validation,9,1
562,Finance,transfer_failed,I cannot send money (request 79),"Verify the recipient details and available balance, then try again. If the transfer still fails, contact your bank.",curated_project_dataset,train,28,1
563,Finance,transfer_pending,My bank transfer has not completed. Can you guide me?,"Please check the transfer status and expected processing time. If it remains pending longer than expected, contact your bank.",curated_project_dataset,train,29,1
564,Healthcare,health_insurance,I need information about health insurance (request 60),"Please specify whether you need help with coverage, claims, eligibility, or policy information so the appropriate guidance can be provided.",curated_project_dataset,train,14,2
565,Healthcare,medication_information,Can you help me with this? I want information about my medication.,Please share the medicine name if you want general information. Do not change the prescribed dose without consulting your healthcare professional.,curated_project_dataset,train,19,2
566,E-commerce,account_issue,Can you help me with this? I cannot access my shopping account.,"Use the account recovery or password-reset option. If you still cannot sign in, contact customer support through the official channel.",curated_project_dataset,train,0,0
567,E-commerce,delivery_time,I need help with this: How long does delivery take?,"Delivery time varies by location, seller, and shipping option. Check the estimated delivery date shown during checkout or in your order.",curated_project_dataset,train,11,0
568,Healthcare,lab_test,Do I need an appointment for a lab test? (request 79),It depends on the laboratory and test. Check the laboratory's booking requirements before visiting.,curated_project_dataset,train,15,2
569,E-commerce,return_order,How do I return a product? (request 65),"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,train,24,0
570,Finance,card_payment,Can you help me with this? My debit card payment did not work. Can you guide me?,"Please check your card balance and status. If the issue continues, contact your bank for assistance.",curated_project_dataset,test,7,1
571,Healthcare,lab_test,I need information about a medical test (request 92),"Please provide the test name. Preparation, timing, and interpretation can vary by test.",curated_project_dataset,train,15,2
572,Healthcare,appointment_booking,I want to see a doctor (request 8),I can help you schedule a consultation. Please provide the medical specialty or doctor you want to visit.,curated_project_dataset,train,1,2
573,Finance,credit_card,I need help with my credit card (request 68),"Please specify whether you need help with payments, limits, transactions, fees, or card access so the appropriate guidance can be provided.",curated_project_dataset,train,9,1
574,E-commerce,return_order,I want to know: How do I return a product?,"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,train,24,0
575,Finance,balance_inquiry,How can I check my balance? (request 34),Use your bank's official app or online banking service to view your current account balance.,curated_project_dataset,validation,4,1
576,Healthcare,medication_information,I need help with this: I want information about my medication.,Please share the medicine name if you want general information. Do not change the prescribed dose without consulting your healthcare professional.,curated_project_dataset,train,19,2
577,Healthcare,lab_test,Do I need an appointment for a lab test? (request 71),It depends on the laboratory and test. Check the laboratory's booking requirements before visiting.,curated_project_dataset,train,15,2
578,Healthcare,health_insurance,Please help me: Can I use insurance for my hospital visit?,This depends on your plan and the healthcare provider. Confirm eligibility and any pre-authorization requirements with your insurer.,curated_project_dataset,train,14,2
579,E-commerce,track_order,How can I track my package? (request 90),Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,validation,26,0
580,Healthcare,appointment_cancel,Please cancel my consultation (request 100),I can guide you through cancellation. Open the appointment record and choose Cancel Appointment.,curated_project_dataset,train,2,2
581,Healthcare,appointment_reschedule,How can I change my consultation date? (request 84),Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,train,3,2
582,Healthcare,appointment_reschedule,How can I change my consultation date? (request 32),Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,test,3,2
583,Finance,loan_information,What documents are required for a loan? (request 31),"Requirements depend on the lender and loan type. Commonly requested documents may include identity, income, and address information.",curated_project_dataset,train,16,1
584,Finance,credit_card,What is my credit card limit? (request 62),"Your current credit limit is available through your card issuer's official app, online account, statement, or customer service.",curated_project_dataset,train,9,1
585,Healthcare,appointment_booking,How can I book a doctor appointment? (request 97),"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train,1,2
586,E-commerce,product_information,Is this item available? (request 88),Check the product page for the latest stock status. Availability can change quickly.,curated_project_dataset,test,22,0
587,Finance,cash_withdrawal,The ATM did not give me cash (request 70),"If your account was debited, keep the ATM receipt or transaction details and contact your bank immediately for investigation.",curated_project_dataset,train,8,1
588,E-commerce,delivery_time,Please help me: Can I know the expected delivery date?,Yes. Check your order details for the current estimated delivery date.,curated_project_dataset,train,11,0
589,Healthcare,lab_test,How do I book a lab test? (request 77),"Select the required test, choose an available laboratory or collection service, and confirm the appointment if booking is available.",curated_project_dataset,train,15,2
590,E-commerce,wrong_product,I received the wrong item (request 61),Please report the issue through your order details and provide the order number and photos of the received product if requested.,curated_project_dataset,train,30,0
591,Finance,loan_information,I need information about a personal loan (request 82),"Personal-loan terms vary by lender, including eligibility, interest rate, tenure, and fees. Review the lender's official terms before applying.",curated_project_dataset,train,16,1
592,Finance,credit_card,I need help with my credit card (request 64),"Please specify whether you need help with payments, limits, transactions, fees, or card access so the appropriate guidance can be provided.",curated_project_dataset,test,9,1
593,Finance,cash_withdrawal,My ATM transaction failed (request 88),Check your account and ATM transaction status. Contact your bank if money was debited or the issue continues.,curated_project_dataset,train,8,1
594,E-commerce,refund,I want to know my refund status (request 100),Please provide your order details or check the refund section of your account for the latest status.,curated_project_dataset,train,23,0
595,E-commerce,refund,How does a product refund work? (request 71),"After the return or cancellation is approved, the refund is generally processed to the original payment method, subject to the seller's policy.",curated_project_dataset,validation,23,0
596,Healthcare,appointment_cancel,How do I cancel my appointment? (request 5),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train,2,2
597,Finance,transfer_pending,When will my pending transfer be completed? (request 88),Processing time varies by bank and transfer type. Check the transaction status for the latest update.,curated_project_dataset,validation,29,1
598,Healthcare,prescription,How do I view my prescription? (request 100),"If your provider offers online records, sign in to your healthcare account and open the prescription or medication section.",curated_project_dataset,train,21,2
599,E-commerce,damaged_product,My product arrived damaged (request 57),"Please take photos of the damaged item and packaging, then report the issue through the order's return or support process as soon as possible.",curated_project_dataset,train,10,0
600,E-commerce,refund,I want to know my refund status (request 24),Please provide your order details or check the refund section of your account for the latest status.,curated_project_dataset,train,23,0
601,Healthcare,lab_test,Do I need an appointment for a lab test? (request 43),It depends on the laboratory and test. Check the laboratory's booking requirements before visiting.,curated_project_dataset,train,15,2
602,Healthcare,medical_report,Where can I see my medical report?,"If digital records are available, check your healthcare account or patient portal. Otherwise, contact the healthcare provider that performed the test.",curated_project_dataset,train,18,2
603,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 27),You can reschedule if the provider has an available slot next week.,curated_project_dataset,validation,3,2
604,E-commerce,delivery_time,How long does delivery take? (request 98),"Delivery time varies by location, seller, and shipping option. Check the estimated delivery date shown during checkout or in your order.",curated_project_dataset,train,11,0
605,E-commerce,track_order,Please help me: What is the status of my order?,Please provide your order number so the current delivery status can be checked.,curated_project_dataset,train,26,0
606,E-commerce,product_information,How can I get information about a product? (request 73),"Open the product page to view its description, specifications, availability, price, and seller information.",curated_project_dataset,train,22,0
607,Healthcare,medical_report,Where can I see my medical report? (request 77),"If digital records are available, check your healthcare account or patient portal. Otherwise, contact the healthcare provider that performed the test.",curated_project_dataset,train,18,2
608,E-commerce,damaged_product,I received a broken product (request 31),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,validation,10,0
609,Finance,credit_card,How do I pay my credit card bill? (request 27),"You can usually pay through the issuer's official app, online banking, bank transfer, or another supported payment method.",curated_project_dataset,train,9,1
610,Finance,balance_inquiry,What is my account balance? (request 29),"You can check your current balance through your bank's official mobile app, online banking portal, ATM, or branch.",curated_project_dataset,train,4,1
611,Finance,loan_information,What documents are required for a loan? (request 95),"Requirements depend on the lender and loan type. Commonly requested documents may include identity, income, and address information.",curated_project_dataset,train,16,1
612,Healthcare,medication_information,What is this medicine used for? (request 65),Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,train,19,2
613,Finance,bank_account,Can I open a bank account online? (request 52),"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,train,5,1
614,E-commerce,track_order,How can I track my package? (request 94),Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train,26,0
615,E-commerce,return_order,What is the process for returning an item? (request 72),"Start a return request from your order details, select the reason, and follow the packaging and pickup or drop-off instructions.",curated_project_dataset,train,24,0
616,Finance,fraud_transaction,Please help me: I think my account has been compromised. Can you guide me?,"Contact your bank immediately through an official channel, secure your account credentials, and follow its instructions for protecting the account.",curated_project_dataset,train,13,1
617,E-commerce,product_information,How can I get information about a product? (request 81),"Open the product page to view its description, specifications, availability, price, and seller information.",curated_project_dataset,test,22,0
618,E-commerce,return_order,Can you help me with this? What is the process for returning an item?,"Start a return request from your order details, select the reason, and follow the packaging and pickup or drop-off instructions.",curated_project_dataset,train,24,0
619,Healthcare,appointment_reschedule,Can you help me with this? Can I change my appointment time?,"Yes. If another slot is available, you can reschedule the appointment from your booking details.",curated_project_dataset,train,3,2
620,Healthcare,appointment_booking,How can I book a doctor appointment? (request 13),"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train,1,2
621,Finance,fraud_transaction,I do not recognize a transaction (request 73),"If you do not recognize a transaction, contact your bank or card issuer through its official channel immediately and follow its fraud-reporting process.",curated_project_dataset,train,13,1
622,Healthcare,medication_information,Can you help me with this? How should I learn about my prescribed medicine?,"Review the prescription and medication leaflet, and ask your doctor or pharmacist about dosage, interactions, and precautions.",curated_project_dataset,test,19,2
623,E-commerce,delivery_time,When will my order be delivered? (request 89),The estimated delivery date is usually shown in your order details and may depend on your location and shipping method.,curated_project_dataset,train,11,0
624,E-commerce,damaged_product,The package arrived damaged (request 80),Document the package condition and contact customer support or the seller with your order number and photos.,curated_project_dataset,train,10,0
625,Finance,bank_account,Can I open a bank account online? (request 40),"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,train,5,1
626,Finance,transaction_issue,I want to know: I need help with a bank transaction. Can you guide me?,Please check the transaction status and reference number. Your bank can investigate account-specific transaction issues.,curated_project_dataset,test,27,1
627,Healthcare,lab_test,Where can I get my blood test done? (request 38),You can use an authorized laboratory or collection center. Follow the test-specific preparation instructions provided by your healthcare provider.,curated_project_dataset,train,15,2
628,E-commerce,return_order,Can I return my product? (request 79),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train,24,0
629,E-commerce,delivery_time,When will my order be delivered? (request 41),The estimated delivery date is usually shown in your order details and may depend on your location and shipping method.,curated_project_dataset,test,11,0
630,Healthcare,prescription,I want to know: Can I get a copy of my prescription?,"You can request a copy from your prescribing doctor or healthcare provider, subject to their procedures.",curated_project_dataset,test,21,2
631,Healthcare,prescription,Can I get a copy of my prescription? (request 98),"You can request a copy from your prescribing doctor or healthcare provider, subject to their procedures.",curated_project_dataset,train,21,2
632,Finance,loan_information,I need help with this: How can I apply for a loan? Can you guide me?,"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train,16,1
633,Finance,bank_account,I want to open a new bank account (request 35),Choose an appropriate account type and follow the bank's official application process. You may need identity and address documents.,curated_project_dataset,train,5,1
634,Finance,transaction_issue,There is a problem with my transaction (request 65),"Review the transaction details and status in your banking account. If the issue is unresolved, contact your bank with the transaction reference.",curated_project_dataset,test,27,1
635,Finance,bank_account,Can I open a bank account online? (request 44),"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,train,5,1
636,Healthcare,prescription,Please help me: I lost my prescription. What should I do?,Contact the prescribing healthcare provider or pharmacist. They can advise whether a replacement or copy can be issued.,curated_project_dataset,train,21,2
637,Finance,loan_information,I need information about a personal loan (request 94),"Personal-loan terms vary by lender, including eligibility, interest rate, tenure, and fees. Review the lender's official terms before applying.",curated_project_dataset,train,16,1
638,Healthcare,prescription,Can I get a copy of my prescription? (request 74),"You can request a copy from your prescribing doctor or healthcare provider, subject to their procedures.",curated_project_dataset,train,21,2
639,Finance,loan_information,I need information about a personal loan (request 26),"Personal-loan terms vary by lender, including eligibility, interest rate, tenure, and fees. Review the lender's official terms before applying.",curated_project_dataset,train,16,1
640,E-commerce,track_order,How can I track my package? (request 98),Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train,26,0
641,E-commerce,account_issue,My account is not working (request 48),"Try signing out and back in or resetting your password. If the problem continues, contact customer support.",curated_project_dataset,train,0,0
642,E-commerce,payment_failed,My payment failed (request 49),"Please verify your payment details, available funds, and any bank authentication requirements, then try again.",curated_project_dataset,train,20,0
643,E-commerce,product_information,How can I get information about a product? (request 85),"Open the product page to view its description, specifications, availability, price, and seller information.",curated_project_dataset,train,22,0
644,Finance,cash_withdrawal,I could not withdraw cash (request 97),"Check whether your card is active and whether you have sufficient available balance. If the ATM charged you without dispensing cash, contact your bank promptly.",curated_project_dataset,train,8,1
645,Healthcare,emergency_guidance,What should I do in a medical emergency? (request 65),"For a serious or life-threatening emergency, seek immediate emergency medical care or contact your local emergency service. Do not rely on a chatbot for emergency treatment.",curated_project_dataset,train,12,2
646,E-commerce,track_order,What is the status of my order? (request 19),Please provide your order number so the current delivery status can be checked.,curated_project_dataset,validation,26,0
647,Finance,fraud_transaction,Please help me: I do not recognize a transaction. Can you guide me?,"If you do not recognize a transaction, contact your bank or card issuer through its official channel immediately and follow its fraud-reporting process.",curated_project_dataset,train,13,1
648,Healthcare,symptoms_information,I have been feeling unwell. What should I do? (request 59),"If symptoms are mild, monitor them and consider contacting a healthcare professional. Seek urgent medical care if symptoms are severe or rapidly worsening.",curated_project_dataset,train,25,2
649,Healthcare,medical_report,Where can I see my medical report? (request 37),"If digital records are available, check your healthcare account or patient portal. Otherwise, contact the healthcare provider that performed the test.",curated_project_dataset,validation,18,2
650,E-commerce,damaged_product,My product arrived damaged (request 85),"Please take photos of the damaged item and packaging, then report the issue through the order's return or support process as soon as possible.",curated_project_dataset,train,10,0
651,E-commerce,delivery_time,I need help with this: When will my order be delivered?,The estimated delivery date is usually shown in your order details and may depend on your location and shipping method.,curated_project_dataset,train,11,0
652,Healthcare,appointment_reschedule,How can I change my consultation date? (request 60),Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,validation,3,2
653,Finance,loan_information,How do I check loan eligibility? (request 72),"Eligibility depends on the lender's criteria, which may include income, credit history, employment, and existing obligations.",curated_project_dataset,train,16,1
654,Finance,bank_account,I want to open a new bank account (request 43),Choose an appropriate account type and follow the bank's official application process. You may need identity and address documents.,curated_project_dataset,train,5,1
655,Finance,loan_information,What documents are required for a loan? (request 43),"Requirements depend on the lender and loan type. Commonly requested documents may include identity, income, and address information.",curated_project_dataset,train,16,1
656,Finance,transaction_issue,I need help with a bank transaction (request 84),Please check the transaction status and reference number. Your bank can investigate account-specific transaction issues.,curated_project_dataset,train,27,1
657,E-commerce,track_order,How can I track my package? (request 30),Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,validation,26,0
658,Finance,card_payment,Please help me: My card payment was declined. Can you guide me?,"Check your card status, available funds, payment details, and any bank security restrictions. Contact your bank if the decline continues.",curated_project_dataset,train,7,1
659,Healthcare,emergency_guidance,I have a severe medical problem. What should I do? (request 70),"Seek urgent medical attention immediately, especially if symptoms are severe, sudden, or life-threatening.",curated_project_dataset,train,12,2
660,Finance,fraud_transaction,There is a suspicious transaction on my account (request 91),Review the transaction and report it to your bank promptly if you did not authorize it. Use only official banking contact channels.,curated_project_dataset,train,13,1
661,Healthcare,health_insurance,Can you help me with this? I need information about health insurance.,"Please specify whether you need help with coverage, claims, eligibility, or policy information so the appropriate guidance can be provided.",curated_project_dataset,train,14,2
662,Finance,loan_information,I want to know: How can I apply for a loan? Can you guide me?,"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train,16,1
663,Finance,transaction_issue,My transaction looks incorrect (request 26),"Please verify the amount, date, and transaction details. If you do not recognize or agree with the transaction, contact your bank promptly.",curated_project_dataset,train,27,1
664,Healthcare,medication_information,What is this medicine used for? (request 57),Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,train,19,2
665,Healthcare,medication_information,How should I learn about my prescribed medicine? (request 63),"Review the prescription and medication leaflet, and ask your doctor or pharmacist about dosage, interactions, and precautions.",curated_project_dataset,train,19,2
666,Finance,transaction_issue,There is a problem with my transaction (request 45),"Review the transaction details and status in your banking account. If the issue is unresolved, contact your bank with the transaction reference.",curated_project_dataset,test,27,1
667,Finance,bank_account,How do I open a bank account? (request 89),"Account-opening requirements vary by bank. Check the bank's official website or branch for eligibility, documents, and application steps.",curated_project_dataset,train,5,1
668,Healthcare,symptoms_information,Can you tell me what my symptoms mean? (request 82),Symptoms can have many possible causes. Please consult a healthcare professional for an appropriate evaluation rather than relying on a chatbot for diagnosis.,curated_project_dataset,train,25,2
669,E-commerce,wrong_product,I got the wrong product. What should I do? (request 92),"Keep the item and packaging, then submit an incorrect-item request through your order details.",curated_project_dataset,validation,30,0
670,E-commerce,wrong_product,I received the wrong item (request 33),Please report the issue through your order details and provide the order number and photos of the received product if requested.,curated_project_dataset,test,30,0
671,Finance,transaction_issue,Please help me: There is a problem with my transaction. Can you guide me?,"Review the transaction details and status in your banking account. If the issue is unresolved, contact your bank with the transaction reference.",curated_project_dataset,train,27,1
672,E-commerce,product_information,I need help with this: Where can I find product specifications?,Product specifications are usually listed on the product page under the description or specifications section.,curated_project_dataset,train,22,0
673,Healthcare,health_insurance,Please help me: How can I check my medical insurance coverage?,Review your policy documents or contact the insurer using the official customer-service channel to confirm coverage.,curated_project_dataset,train,14,2
674,Finance,card_payment,I cannot pay with my card (request 39),"Verify that your card is active and has sufficient funds. If payments continue to fail, contact your card issuer.",curated_project_dataset,train,7,1
675,Healthcare,medical_report,Where can I see my medical report? (request 57),"If digital records are available, check your healthcare account or patient portal. Otherwise, contact the healthcare provider that performed the test.",curated_project_dataset,test,18,2
676,Finance,cash_withdrawal,My ATM transaction failed. Can you guide me?,Check your account and ATM transaction status. Contact your bank if money was debited or the issue continues.,curated_project_dataset,train,8,1
677,E-commerce,return_order,I want to return something I bought (request 54),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,train,24,0
678,Healthcare,health_insurance,How can I check my medical insurance coverage? (request 70),Review your policy documents or contact the insurer using the official customer-service channel to confirm coverage.,curated_project_dataset,train,14,2
679,Finance,transfer_pending,My money transfer is pending (request 65),Pending transfers can take time depending on the bank and transfer type. Please check the transaction status and contact your bank if it remains pending beyond the expected processing period.,curated_project_dataset,train,29,1
680,E-commerce,payment_failed,I want to know: I cannot complete my payment.,"Check the payment method and billing details, then retry. If it still fails, try another supported payment method.",curated_project_dataset,validation,20,0
681,Finance,transaction_issue,There is a problem with my transaction (request 61),"Review the transaction details and status in your banking account. If the issue is unresolved, contact your bank with the transaction reference.",curated_project_dataset,train,27,1
682,Finance,balance_inquiry,Can I check my balance online? (request 88),Yes. Most banks provide balance information through their official online banking or mobile application.,curated_project_dataset,train,4,1
683,Finance,credit_card,How do I pay my credit card bill? (request 59),"You can usually pay through the issuer's official app, online banking, bank transfer, or another supported payment method.",curated_project_dataset,train,9,1
684,E-commerce,cancel_order,Can I cancel my purchase? (request 74),Cancellation depends on the order status. Please open the order details and check whether the cancellation option is available.,curated_project_dataset,train,6,0
685,Healthcare,prescription,I lost my prescription. What should I do? (request 43),Contact the prescribing healthcare provider or pharmacist. They can advise whether a replacement or copy can be issued.,curated_project_dataset,train,21,2
686,Finance,transfer_failed,I need help with this: My money transfer failed. Can you guide me?,"Please check the transfer details and your account status. If the problem persists, contact your bank for the specific reason for failure.",curated_project_dataset,test,28,1
687,E-commerce,return_order,What is the process for returning an item? (request 56),"Start a return request from your order details, select the reason, and follow the packaging and pickup or drop-off instructions.",curated_project_dataset,train,24,0
688,E-commerce,damaged_product,I received a broken product (request 67),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,train,10,0
689,E-commerce,damaged_product,What should I do if my item is damaged? (request 66),"Keep the product and packaging, document the damage with photos, and submit a damage claim or return request through the order details.",curated_project_dataset,train,10,0
690,E-commerce,return_order,I want to return something I bought (request 90),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,train,24,0
691,Finance,card_payment,Why did my card payment fail? Can you guide me?,"A card payment may fail because of insufficient funds, incorrect details, security checks, or merchant restrictions.",curated_project_dataset,train,7,1
692,Finance,cash_withdrawal,My ATM transaction failed (request 28),Check your account and ATM transaction status. Contact your bank if money was debited or the issue continues.,curated_project_dataset,test,8,1
693,E-commerce,refund,I want to know my refund status (request 44),Please provide your order details or check the refund section of your account for the latest status.,curated_project_dataset,test,23,0
694,E-commerce,product_information,Does this product have the features I need? (request 26),"Please check the product specifications and description. If a required feature is unclear, contact the seller for confirmation.",curated_project_dataset,train,22,0
695,Finance,credit_card,How do I pay my credit card bill? (request 95),"You can usually pay through the issuer's official app, online banking, bank transfer, or another supported payment method.",curated_project_dataset,test,9,1
696,Finance,bank_account,I want to open a new bank account (request 87),Choose an appropriate account type and follow the bank's official application process. You may need identity and address documents.,curated_project_dataset,train,5,1
697,Finance,transfer_failed,I cannot send money (request 95),"Verify the recipient details and available balance, then try again. If the transfer still fails, contact your bank.",curated_project_dataset,test,28,1
698,Finance,card_payment,I need help with this: My card payment was declined. Can you guide me?,"Check your card status, available funds, payment details, and any bank security restrictions. Contact your bank if the decline continues.",curated_project_dataset,validation,7,1
699,E-commerce,delivery_time,How long does delivery take? (request 78),"Delivery time varies by location, seller, and shipping option. Check the estimated delivery date shown during checkout or in your order.",curated_project_dataset,train,11,0
700,E-commerce,return_order,Can I return my product? (request 87),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train,24,0
701,Healthcare,medication_information,I want information about my medication (request 36),Please share the medicine name if you want general information. Do not change the prescribed dose without consulting your healthcare professional.,curated_project_dataset,train,19,2
702,E-commerce,damaged_product,The package arrived damaged (request 28),Document the package condition and contact customer support or the seller with your order number and photos.,curated_project_dataset,train,10,0
703,Healthcare,appointment_reschedule,I need to reschedule my doctor's visit (request 38),"Open your appointment and select Reschedule, then choose another available date and time.",curated_project_dataset,train,3,2
704,Finance,transaction_issue,I need help with a bank transaction (request 48),Please check the transaction status and reference number. Your bank can investigate account-specific transaction issues.,curated_project_dataset,train,27,1
705,Healthcare,appointment_cancel,I need to cancel my doctor's appointment (request 10),Please open your appointment details and select the cancellation option. Check the provider's cancellation policy for any applicable conditions.,curated_project_dataset,test,2,2
706,Finance,balance_inquiry,I want to know my bank balance (request 75),Please check the balance section of your official banking app or online banking account.,curated_project_dataset,test,4,1
707,Healthcare,appointment_cancel,Please cancel my consultation (request 64),I can guide you through cancellation. Open the appointment record and choose Cancel Appointment.,curated_project_dataset,train,2,2
708,Healthcare,appointment_reschedule,Can I change my appointment time? (request 89),"Yes. If another slot is available, you can reschedule the appointment from your booking details.",curated_project_dataset,train,3,2
709,Healthcare,appointment_reschedule,Can I change my appointment time? (request 53),"Yes. If another slot is available, you can reschedule the appointment from your booking details.",curated_project_dataset,validation,3,2
710,Finance,cash_withdrawal,My ATM transaction failed (request 84),Check your account and ATM transaction status. Contact your bank if money was debited or the issue continues.,curated_project_dataset,train,8,1
711,E-commerce,account_issue,I cannot access my shopping account (request 65),"Use the account recovery or password-reset option. If you still cannot sign in, contact customer support through the official channel.",curated_project_dataset,train,0,0
712,E-commerce,return_order,How do I return a product? (request 89),"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,train,24,0
713,Healthcare,medical_report,Where can I see my medical report? (request 45),"If digital records are available, check your healthcare account or patient portal. Otherwise, contact the healthcare provider that performed the test.",curated_project_dataset,train,18,2
714,E-commerce,return_order,Can I return my product? (request 7),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train,24,0
715,Finance,card_payment,I want to know: My debit card payment did not work. Can you guide me?,"Please check your card balance and status. If the issue continues, contact your bank for assistance.",curated_project_dataset,train,7,1
716,E-commerce,refund,I want to know my refund status (request 92),Please provide your order details or check the refund section of your account for the latest status.,curated_project_dataset,train,23,0
717,Finance,transaction_issue,My transaction looks incorrect (request 34),"Please verify the amount, date, and transaction details. If you do not recognize or agree with the transaction, contact your bank promptly.",curated_project_dataset,train,27,1
718,Healthcare,emergency_guidance,When should I seek emergency care? (request 91),"Emergency care may be needed for severe or rapidly worsening symptoms. When in doubt about a potentially serious condition, seek immediate professional medical help.",curated_project_dataset,train,12,2
719,Healthcare,health_insurance,I need information about health insurance (request 40),"Please specify whether you need help with coverage, claims, eligibility, or policy information so the appropriate guidance can be provided.",curated_project_dataset,train,14,2
720,E-commerce,cancel_order,Can I cancel my purchase? (request 50),Cancellation depends on the order status. Please open the order details and check whether the cancellation option is available.,curated_project_dataset,train,6,0
721,E-commerce,return_order,I want to return something I bought (request 22),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,train,24,0
722,E-commerce,damaged_product,The package arrived damaged (request 44),Document the package condition and contact customer support or the seller with your order number and photos.,curated_project_dataset,train,10,0
723,Finance,card_payment,My card payment was declined.,"Check your card status, available funds, payment details, and any bank security restrictions. Contact your bank if the decline continues.",curated_project_dataset,train,7,1
724,Healthcare,medication_information,Can you give me information about a medicine? (request 62),"Please provide the medicine name. I can give general information, but medication decisions should be confirmed with a qualified healthcare professional.",curated_project_dataset,train,19,2
725,E-commerce,refund,Can you help me with this? My refund has not arrived.,"Please check the refund status and original payment method. If the stated processing period has passed, contact customer support with your order details.",curated_project_dataset,train,23,0
726,E-commerce,payment_failed,My card payment did not go through (request 36),Please verify your card details and contact your bank if the transaction continues to be declined.,curated_project_dataset,train,20,0
727,Healthcare,appointment_cancel,I need to cancel my doctor's appointment (request 58),Please open your appointment details and select the cancellation option. Check the provider's cancellation policy for any applicable conditions.,curated_project_dataset,train,2,2
728,E-commerce,account_issue,Please help me: My account is not working.,"Try signing out and back in or resetting your password. If the problem continues, contact customer support.",curated_project_dataset,train,0,0
729,Finance,transaction_issue,I need help with a bank transaction (request 60),Please check the transaction status and reference number. Your bank can investigate account-specific transaction issues.,curated_project_dataset,train,27,1
730,Healthcare,lab_test,Where can I get my blood test done? (request 78),You can use an authorized laboratory or collection center. Follow the test-specific preparation instructions provided by your healthcare provider.,curated_project_dataset,validation,15,2
731,Finance,credit_card,How can I apply for a credit card? (request 49),Credit-card eligibility and application requirements vary by issuer. Check the issuer's official application process and terms.,curated_project_dataset,train,9,1
732,E-commerce,wrong_product,I received the wrong item (request 73),Please report the issue through your order details and provide the order number and photos of the received product if requested.,curated_project_dataset,train,30,0
733,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 39),You can reschedule if the provider has an available slot next week.,curated_project_dataset,train,3,2
734,Finance,fraud_transaction,Can you help me with this? Someone may have used my card. Can you guide me?,"Contact your card issuer immediately using the official number or app, secure your account, and follow the issuer's instructions for reporting suspected fraud.",curated_project_dataset,train,13,1
735,E-commerce,track_order,My order has not arrived yet (request 92),"Please check the latest tracking update first. If the expected delivery date has passed, contact customer support with your order number.",curated_project_dataset,train,26,0
736,Finance,credit_card,How do I pay my credit card bill? (request 71),"You can usually pay through the issuer's official app, online banking, bank transfer, or another supported payment method.",curated_project_dataset,train,9,1
737,Healthcare,appointment_cancel,How do I cancel my appointment?,"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train,2,2
